ModuleName,LibraryName,Attribute,Category,FeatureOption
LzmaDec.obj,gfx_core32.lib,RO,Neptune-related obj,
l1_interface.obj,interface_classb.lib,RO,Neptune-related obj,
*bmt.lib,bmt.lib,RO,default not in zimage,
*config.lib,config.lib,RO,default not in zimage,
*drv.lib,*drv.lib,RO,default not in zimage,
*mc.lib,mc.lib,RO,default not in zimage,
*usb_driver.lib,usb_driver.lib,RO,default not in zimage,
*mm_comm.lib,mm_comm.lib,RO,default not in zimage,
*mtd.lib,mtd.lib,RO,default not in zimage,
*peripheral.lib,peripheral.lib,RO,default not in zimage,
*drv_display.lib,drv_display.lib,RO,default not in zimage,
*gfx_drv.lib,gfx_drv.lib,RO,default not in zimage,
*cipher.lib,cipher.lib,RO,default not in zimage,
*drv_idp.lib,drv_idp.lib,RO,default not in zimage,
*fdm.lib,fdm.lib,RO,default not in zimage,
*init.lib,init.lib,RO,default not in zimage,
*system.lib,system.lib,RO,default not in zimage,
*kal.lib,kal.lib,RO,default not in zimage,
*l1_ext.lib,l1_ext.lib,RO,default not in zimage,
*sst.lib,sst.lib,RO,default not in zimage,
*sst_sec.lib,sst_sec.lib,RO,default not in zimage,
*sss.lib,sss.lib,RO,default not in zimage,
*sss_rvct*.lib,sss_rvct*.lib,RO,default not in zimage,
*tst.lib,tst.lib,RO,default not in zimage,
*gdi.lib,gdi.lib,RO,default not in zimage,
*verno.lib,verno.lib,RO,default not in zimage,
*j2me_hi.lib,j2me_hi.lib,RO,default not in zimage,
*j2me_hi_rvct.lib,j2me_hi_rvct.lib,RO,default not in zimage,
*gdi_arm.lib,gdi_arm.lib,RO,default not in zimage,!(PLATFORM = MT6250 || PLATFORM = MT6260 || PLATFORM = MT6261 || PLATFORM = MT2501 || PLATFORM = MT2502)
*dsp_ram.lib,dsp_ram.lib,RO,default not in zimage,
*ssf.lib,ssf.lib,RO,default not in zimage,FOTA_ENABLE = FOTA_DM
custom_emi.obj,custom.lib,RO,default not in zimage,
custom_config.obj,custom.lib,RO,default not in zimage,
custom_flash.obj,custom.lib,RO,default not in zimage,
custom_scatstruct.obj,custom.lib,RO,default not in zimage,
custom_jump_tbl.obj,custom.lib,RO,default not in zimage,MULTIPLE_BINARY_FILES = FALSE
custom_util.obj,custom.lib,RO,default not in zimage,
custom_fota.obj,custom.lib,RO,default not in zimage,FOTA_ENABLE = FOTA_DM
custom_img_config.obj,custom.lib,RO,default not in zimage,FOTA_ENABLE = FOTA_DM
combo_flash_nor.obj,custom.lib,RO-CODE RO-DATA,default not in zimage,
combo_flash_init.obj,custom.lib,RO-CODE RO-DATA,default not in zimage,
custom_sfi.obj,custom.lib,RO-CODE RO-DATA,default not in zimage,
gpio_setting.obj,custom.lib,RO,default not in zimage,
adc_channel.obj,Unknown,RO,default not in zimage,
alerter_tone.obj,Unknown,RO,default not in zimage,
alerterdrv.obj,custom.lib,RO,default not in zimage,
chr_parameter.obj,custom.lib,RO,default not in zimage,
custom_drv_init.obj,custom.lib,RO,default not in zimage
custom_equipment.obj,custom.lib,RO,default not in zimage
custom_hw_default.obj,custom.lib,RO,default not in zimage
eint_def.obj,custom.lib,RO,default not in zimage
